,Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
912819,1453657,Al-jamil-llc  ,Medium Grocery Store,9823,15th Ave SW,Ste A,Seattle,WA,98106,2847,KING,47.51499,-122.3545,06/04/2021, 
912822,247868,AL-NASAR STORE  ,Medium Grocery Store,7126,Mlk Jr Way S Ste 105, ,Seattle,WA,98118,3595,KING,0.0,0.0,03/26/2001,04/04/2004
912823,1097121,Al-noor Grocery & Halal Meat  ,Convenience Store,6301,Rainier Ave S,Ste 3,Seattle,WA,98118,2789,KING,47.54594,-122.2759,07/09/2013,02/22/2015
912824,637586,ALADDIN GYRO-CERY & DELI  ,Convenience Store,4139,University Way NE, ,Seattle,WA,98105,6213,KING,0.0,0.0,09/02/1993,01/31/1999
912827,416994,ALASKA MINI MART  ,Convenience Store,4561,Ml King Jr Way S, ,Seattle,WA,98108,2174,KING,0.0,0.0,06/07/1995,04/30/1999
912828,541411,ALASKA MINI MART  ,Convenience Store,4561,Ml King Jr Way S, ,Seattle,WA,98108,2174,KING,0.0,0.0,03/21/2000,02/01/2004
912829,552320,ALASKA STREET MINI MART  ,Unknown,4561,Ml King Jr Way S, ,Seattle,WA,98108,2174,KING,0.0,0.0,12/20/1984,01/17/1994
912830,346524,ALASKA STREET MINI MART  ,Convenience Store,4561,M L King Way S, ,Seattle,WA,98108,2174,KING,0.0,0.0,01/19/1994,06/06/1995
912831,451578,ALASKA STREET MINI MART  ,Convenience Store,4561,Ml King Jr Way S, ,Seattle,WA,98108,2174,KING,0.0,0.0,06/07/1999,02/29/2000
912832,235396,ALBERT'S AM/PM  ,Convenience Store,665,23rd Ave, ,Seattle,WA,98122,6000,KING,0.0,0.0,05/28/1991,03/15/1993
912835,449275,ALBERTSONS  408,Supermarket,2550,32nd Ave W, ,Seattle,WA,98199,3220,KING,47.64217,-122.3983,04/09/1968,05/30/2006
912837,509532,ALBERTSONS  445,Supermarket,5250,40th Ave NE, ,Seattle,WA,98105,3045,KING,0.0,0.0,04/09/1968,02/20/2002
912840,310925,ALBERTSONS  418,Supermarket,10616,16th Ave SW, ,Seattle,WA,98146,2076,KING,47.50849,-122.3551,04/12/1968,05/30/2006
912858,703228,ALBERTSONS  410,Supermarket,13050,Aurora Ave N, ,Seattle,WA,98133,7507,KING,47.72359,-122.3449,01/28/1998,05/30/2006
912861,791690,ALBERTSONS 2410,Supermarket,13050,Aurora Ave N, ,Seattle,WA,98133,7507,KING,47.72359,-122.3449,06/01/2006, 
912863,791612,Albertsons 3408,Supermarket,2550,32nd Ave W, ,Seattle,WA,98199,3220,KING,47.64217,-122.3983,06/01/2006, 
912872,791566,ALBERTSONS 473,Supermarket,12725,1st Ave S, ,Seattle,WA,98168,2683,KING,47.48866,-122.3339,06/01/2006,03/17/2015
912875,791613,ALBERTSONS  418,Supermarket,10616,16th Ave SW, ,Seattle,WA,98146,2076,KING,47.50849,-122.3551,06/01/2006,04/01/2012
912885,764414,ALEX VIDEO Y TIENDA  ,Small Grocery Store,6301,Rainier Ave S,Ste 2,Seattle,WA,98118,2789,KING,47.54594,-122.2759,09/23/2005,02/03/2010
912886,764414,ALEX VIDEO Y TIENDA  ,Small Grocery Store,6301,Rainier Ave S,Ste 2,Seattle,WA,98118,2789,KING,47.54594,-122.2759,02/24/2010,09/21/2011
912887,266391,ALFALFA'S NORTHWEST #101  ,Combination Grocery/Other,5440,Sand Point Way NE, ,Seattle,WA,98105,2167,KING,0.0,0.0,06/30/1995,09/18/1996
912888,471439,Alfi's Food & Deli  ,Small Grocery Store,1830,Minor Ave, ,Seattle,WA,98101,1414,KING,47.61712,-122.3309,08/04/1989,09/16/2021
912891,554436,ALI'S CORNER  ,Convenience Store,8856,35th Ave SW, ,Seattle,WA,98126,3606,KING,0.0,0.0,12/14/1994,02/05/1996
912892,910999,Ali's Corner  ,Convenience Store,8856,35th Ave SW, ,Seattle,WA,98126,3606,KING,47.52364,-122.3766,09/03/2009,05/08/2012
912908,550121,ALOHA MARKET  ,Convenience Store,7762,Beacon Ave S, ,Seattle,WA,98118,4013,KING,0.0,0.0,01/20/1988,07/11/2001
912910,889187,ALOHA MARKET  ,Convenience Store,7762,Beacon Ave S, ,Seattle,WA,98118,4013,KING,47.5326,-122.2886,05/06/2009,08/11/2020
912911,1418033,Aloha Market  ,Convenience Store,7762,Beacon Ave S,,Seattle,WA,98118,4013,KING,47.53266,-122.2885,08/20/2020, 
